Dept,Certify_ID,Certify_Type,Certify_Name,Certify_time,Certify_Grade,Remark,Active,Score
EPI                 ,MFG-E-001           ,附屬機台                ,"XRD, OM, AFM 作業流程操作試題卷 _Ver1                                                                        ",1         ,EPI                 ,1st check                                                                                           ,False,0.0
EPI                 ,MFG-E-002           ,Main Tool           ,MOCVD及baking furnace 作業流程操作試卷                                                                       ,1         ,EPI                 ,                                                                                                    ,False,0.0
EPI                 ,MFG-E-003           ,附屬機台                ,QT 作業流程操作試題卷 v01                                                                                    ,1         ,EPI                 ,                                                                                                    ,True,1.0
EPI                 ,MFG-E-004           ,附屬機台                ,Hall 作業流程操作試題卷 v01                                                                                  ,1         ,EPI                 ,無使用                                                                                                 ,False,0.0
EPI                 ,MFG-E-005           ,附屬機台                ,Laser masker教育訓練考卷                                                                                  ,1         ,EPI                 ,                                                                                                    ,True,1.0
EPI                 ,MFG-E-006           ,附屬機台                ,PL 作業流程操作試題卷 v01                                                                                    ,1         ,EPI                 ,                                                                                                    ,True,1.0
EPI                 ,MFG-E-007           ,附屬機台                ,In-ball press automatic 作業流程操作試題卷 _Ver1                                                             ,1         ,EPI                 ,                                                                                                    ,True,1.0
EPI                 ,MFG-E-008           ,附屬機台                ,(1) Anneal (2) CO2 Laser (3) Hot plate (4) Power Supply 作業流程操作試題卷                                   ,1         ,EPI                 ,                                                                                                    ,False,0.0
EPI                 ,MFG-E-009           ,Main Tool           ,Aixtron MOCVDA1 作業流程操作試卷                                                                            ,1         ,EPI                 ,2014/5/23刪除                                                                                         ,False,6.0
EPI                 ,MFG-E-010           ,Main Tool           ,Candela 作業流程操作試考卷 _Ver1                                                                             ,1         ,EPI                 ,                                                                                                    ,False,0.0
Iflow               ,MFG-I-001           ,Main Tool           ,"2, 4inch Auto-aligner 作業流程操作試題卷 _Ver1                                                               ",1         ,iflow前段             ,停用                                                                                                  ,False,0.0
Iflow               ,MFG-I-002           ,Main Tool           ,8inch Auto-aligner 作業流程操作試題卷 _Ver1                                                                  ,1         ,iflow前段             ,                                                                                                    ,False,0.0
Iflow               ,MFG-I-003           ,Main Tool           ,4 inch Auto-coater 作業流程操作試題卷 _Ver1                                                                  ,1         ,iflow前段             ,2014/05/08名揚說更改certify_name                                                                         ,True,4.0
Iflow               ,MFG-I-004           ,Main Tool           ,8 Inch Coater TEL TRACK 作業流程操作試題卷 _Ver1                                                             ,1         ,iflow前段             ,                                                                                                    ,False,0.0
Iflow               ,MFG-I-005           ,Main Tool           ,HMDS oven 作業流程操作試題卷 _Ver1                                                                           ,1         ,iflow前段             ,,True,4.0
Iflow               ,MFG-I-006           ,Main Tool           ,OM考卷                                                                                                ,1         ,iflow前段             ,                                                                                                    ,False,0.0
Iflow               ,MFG-I-007           ,Main Tool           ,Wet Bench 作業流程操作試題卷 20101228                                                                        ,1         ,iflow前段             ,,True,4.0
Iflow               ,MFG-I-008           ,Main Tool           ,metal lift off作業流程操作試題卷 _Ver1                                                                       ,1         ,iflow前段             ,                                                                                                    ,True,3.0
Iflow               ,MFG-I-009           ,Main Tool           ,Plasma Descum  作業流程操作試題卷 _Ver1                                                                      ,1         ,iflow前段             ,,True,3.0
Iflow               ,MFG-I-010           ,Main Tool           ,Spin dryer旋乾機教育訓練課程 測驗                                                                              ,1         ,iflow前段             ,,True,3.0
Iflow               ,MFG-I-011           ,Main Tool           ,ULVAC ICP 作業流程操作試題卷 _Ver1                                                                           ,1         ,iflow前段             ,,True,4.0
Iflow               ,MFG-I-012           ,附屬機台                ,D8 作業流程操作試題卷 _Ver1                                                                                  ,1         ,iflow前段             ,,True,1.0
Iflow               ,MFG-I-013           ,Main Tool           ,ULVAC PECVD 作業流程操作試題卷 _Ver1                                                                         ,1         ,iflow前段             ,,True,4.0
Iflow               ,MFG-I-014           ,Main Tool           ,E-Gun作業流程操作試題卷 _Ver1                                                                                ,1         ,iflow前段             ,,True,6.0
