EMP_ID,Education,G_School,Major
000042,二技                  ,私立亞東工業專科學校                              ,工業工程與管理科                                
000056,二技                  ,私立中華工商專科學校                              ,工業工程與管理科                                
000125,高中                  ,新生醫校                                    ,幼保科                                     
000126,高中                  ,私立明道高中進修學校                              ,綜合商科                                    
000131,高中                  ,新力工家                                    ,資訊科                                     
000133,高中                  ,國立關西高中                                  ,家政科                                     
000134,高中                  ,私立光復高中                                  ,電子科                                     
000146,高中                  ,私立光復高中                                  ,綜商科                                     
000147,高中                  ,私立曙光女中                                  ,會計事務科                                   
000150,高中                  ,私立屏榮高中進修學校                              ,國際貿易科                                   
000152,大學                  ,大葉大學                                    ,企業管理學系                                  
000154,大學                  ,國立高雄應用科技大學                              ,土木系                                     
000164,高中                  ,私立明德女中                                  ,餐飲管理科                                   
000166,二技                  ,明志科技大學                                  ,工業工程與管理系                                
000167,高中                  ,私立忠信高中                                  ,資料處理科                                   
000174,大學                  ,育達技術學院                                  ,資管系                                     
000175,大學                  ,朝陽科技大學                                  ,保險金融管理系                                 
000177,高中                  ,國立宜蘭大學附設農工職業進修學校                        ,視廳電子科                                   
000181,高中                  ,私立建台高中                                  ,會計科                                     
000187,四技                  ,嘉南藥理科技大學                                ,醫務管理系                                   
000189,二專                  ,私立德明商業專科學校                              ,會統科                                     
000191,四技                  ,育達技術學院                                  ,幼保系                                     
000192,高職                  ,北門農工                                    ,木土工程科                                   
000193,高職                  ,苗栗農工                                    ,食品經營科                                   
000199,大學                  ,國立台北教育大學                                ,語言與創作學系                                 
000202,高職                  ,育達商職                                    ,會計科                                     
000205,高職                  ,苗栗高商                                    ,商業經營科                                   
000214,大學                  ,大葉大學                                    ,觀光事業學系                                  
000215,大學                  ,康寧大學                                    ,數位應用                                    
000216,高中                  ,台中家商                                    ,商用資訊科                                   
000218,大學                  ,明新科大                                    ,老人服務系                                   
000225,高中                  ,明德女中                                    ,餐飲科                                     
000242,四技                  ,亞太創意技術學院                                ,藥用化妝品學系                                 
000261,高中                  ,私立大成高中                                  ,資訊科技                                    
000267,高職                  ,苗栗高商                                    ,會計事務科                                   
000268,高中                  ,暨大附中                                    ,商業經營                                    
000271,高職                  ,建台高職                                    ,資料處理                                    
000275,高中                  ,苗栗高中                                    ,普通科                                     
000276,高中                  ,私立東泰高中                                  ,幼兒保育(科)                                 
000277,大學                  ,南台科技大學                                  ,化學工程系                                   
000284,高職                  ,私立建台高中                                  ,資料處理科                                   
000287,高中                  ,私立光復高中                                  ,資料處理(科)                                 
000288,大學                  ,明新科技大學                                  ,企業管理學系                                  
000289,高職                  ,私立世界高中                                  ,美工(科)                                   
000294,高中                  ,國立嘉義高中                                  ,普通科                                     
000296,高中                  ,國立屏東高中                                  ,普通科                                     
000297,高中                  ,私立義民高中                                  ,電工技術科                                   
000298,高職                  ,私立忠信高中                                  ,普通科                                     
000300,二技                  ,台南海事                                    ,電子通信科                                   
000330,高職                  ,私立光復高中                                  ,資料處理(科)                                 
000344,高職                  ,私立光復高中                                  ,資料處理科                                   
000351,高職                  ,光復中學                                    ,幼保                                      
000355,高職                  ,中山工商高級職業                                ,商用日文                                    
000360,高中                  ,新竹女中                                    ,普通科                                     
000361,高中                  ,大湖農工                                    ,食品加工                                    
000362,大學                  ,育達技術學院                                  ,應用經濟系                                   
000363,大學                  ,中華大學                                    ,財務管理系                                   
000364,二專                  ,親民技術學院                                  ,應用外語科                                   
000371,二專                  ,南亞技術學院                                  ,應用外語                                    
000382,二專                  ,僑光科技大學                                  ,應用英語系                                   
000386,高職                  ,苗栗高商                                    ,商業經營                                    
000395,高職                  ,嘉義高商                                    ,文書事務科                                   
000406,高中                  ,大湖農工                                    ,電機科                                     
000410,高中                  ,明道高中                                    ,建築製圖                                    
000411,二專                  ,美和科技大學                                  ,資訊管理(技術)學系                              
000415,四技                  ,明新科技大學                                  ,企業管理學系                                  
000424,大學                  ,中州科技大學                                  ,保健營養                                    
000425,大學                  ,中興大學                                    ,中文系                                     
000427,大學                  ,國立聯合大學                                  ,光電工程                                    
000428,大學                  ,東海大學                                    ,企管                                      
000432,高中                  ,新竹光復中學                                  ,資料處理科                                   
000433,高職                  ,忠信高工                                    ,資訊                                      
000435,大學                  ,嘉南藥理科大                                  ,保健營養                                    
000439,四技                  ,育達商業科技大學                                ,應用日文系                                   
000441,高中                  ,青年高中                                    ,資訊科                                     
000442,大學                  ,南台科技大學                                  ,管理與資訊系                                  
000443,二專                  ,親民科技大學                                  ,企業管理科                                   
000451,二專                  ,醒吾技術學院                                  ,企業管理科                                   
000465,大學                  ,玄奘大學                                    ,資訊處理                                    
