Certify_No,EMP_ID,Certify_ID,Certify_date,Certify_type,update_date,Active,Remark,updater,Cer_type
1,000490,MFG-I-011           ,2012-01-21,內訓        ,2014-01-28,False,                                                                                                                                ,Sys_Auto  ,1         
2,000490,MFG-I-037           ,2012-01-21,內訓        ,2014-01-28,False,                                                                                                                                ,Sys_Auto  ,1         
3,000490,MFG-I-039           ,2012-01-21,內訓        ,2014-01-28,False,                                                                                                                                ,Sys_Auto  ,1         
4,000242,MFG-I-029           ,2012-01-22,內訓        ,2014-01-28,False,                                                                                                                                ,Sys_Auto  ,1         
5,000133,MFG-I-030           ,2012-02-01,內訓        ,2014-01-28,False,                                                                                                                                ,Sys_Auto  ,1         
6,000134,MFG-I-006           ,2012-02-02,內訓        ,2014-01-28,False,                                                                                                                                ,Sys_Auto  ,1         
7,000146,MFG-I-006           ,2014-02-02,內訓        ,2014-03-29,True,                                                                                                                                ,cwhsiaoh  ,2         
8,000242,MFG-I-019           ,2012-02-02,內訓        ,2014-01-28,False,                                                                                                                                ,Sys_Auto  ,1         
9,000242,MFG-I-030           ,2012-02-07,內訓        ,2014-01-28,False,                                                                                                                                ,Sys_Auto  ,1         
10,000242,MFG-I-027           ,2012-02-10,內訓        ,2014-01-30,False,                                                                                                                                ,Sys_Auto  ,1         
11,000242,MFG-I-031           ,2012-02-10,內訓        ,2014-01-30,False,                                                                                                                                ,Sys_Auto  ,1         
12,000277,MFG-P-008           ,2012-02-17,內訓        ,2014-02-06,False,                                                                                                                                ,Sys_Auto  ,1         
13,000174,MFG-I-030           ,2012-02-22,內訓        ,2014-02-11,False,                                                                                                                                ,Sys_Auto  ,1         
14,000242,MFG-I-040           ,2012-02-22,內訓        ,2014-02-11,False,                                                                                                                                ,Sys_Auto  ,1         
15,000056,MFG-E-005           ,2012-02-24,內訓        ,2014-02-13,False,                                                                                                                                ,Sys_Auto  ,1         
16,000146,MFG-I-023           ,2012-02-24,內訓        ,2014-02-13,False,                                                                                                                                ,Sys_Auto  ,1         
17,000146,MFG-I-024           ,2012-02-24,內訓        ,2014-02-13,False,                                                                                                                                ,Sys_Auto  ,1         
18,000146,MFG-I-025           ,2012-02-24,內訓        ,2014-02-13,False,                                                                                                                                ,Sys_Auto  ,1         
19,000146,MFG-I-026           ,2012-02-24,內訓        ,2014-02-13,False,                                                                                                                                ,Sys_Auto  ,1         
20,000277,MFG-P-012           ,2012-02-29,內訓        ,2014-02-18,False,                                                                                                                                ,Sys_Auto  ,1         
21,000192,MFG-E-005           ,2012-03-01,內訓        ,2014-02-19,False,                                                                                                                                ,Sys_Auto  ,1         
24,000126,MFG-I-012           ,2012-03-06,內訓        ,2014-02-24,False,                                                                                                                                ,Sys_Auto  ,1         
25,000126,MFG-I-015           ,2012-03-06,內訓        ,2014-02-24,False,                                                                                                                                ,Sys_Auto  ,1         
26,000177,MFG-E-005           ,2012-03-10,內訓        ,2014-02-28,False,                                                                                                                                ,Sys_Auto  ,1         
35,000125,MFG-E-005           ,2012-03-13,內訓        ,2014-03-03,False,                                                                                                                                ,Sys_Auto  ,1         
36,000146,MFG-I-030           ,2012-03-14,內訓        ,2014-03-04,False,                                                                                                                                ,Sys_Auto  ,1         
37,000175,MFG-I-030           ,2012-03-14,內訓        ,2014-03-04,False,                                                                                                                                ,Sys_Auto  ,1         
42,000199,MFG-P-016           ,2012-03-14,內訓        ,2014-03-04,False,                                                                                                                                ,Sys_Auto  ,1         
43,000344,MFG-P-028           ,2012-03-14,內訓        ,2014-03-04,False,                                                                                                                                ,Sys_Auto  ,1         
47,000484,MFG-I-005           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
48,000632,MFG-I-005           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
49,000632,MFG-I-007           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
50,000484,MFG-I-008           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
51,000632,MFG-I-008           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
53,000632,MFG-I-010           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
54,000484,MFG-I-015           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
55,000632,MFG-I-015           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
56,000675,MFG-I-015           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
57,000632,MFG-I-023           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
10516,000594,MFG-I-027           ,2014-09-22,內訓        ,2014-09-22,True,                                                                                                                                ,l000216   ,1         
58,000632,MFG-I-024           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
59,000632,MFG-I-025           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
60,000632,MFG-I-026           ,2012-03-15,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
61,000242,MFG-I-018           ,2012-03-17,內訓        ,2014-03-07,False,                                                                                                                                ,Sys_Auto  ,1         
62,000175,MFG-I-007           ,2012-03-19,內訓        ,2014-03-09,False,                                                                                                                                ,Sys_Auto  ,1         
63,000175,MFG-I-014           ,2012-03-19,內訓        ,2014-03-09,False,                                                                                                                                ,Sys_Auto  ,1         
64,000632,MFG-I-009           ,2012-03-19,內訓        ,2014-03-09,False,                                                                                                                                ,Sys_Auto  ,1         
65,000675,MFG-I-012           ,2012-03-19,內訓        ,2014-03-09,False,                                                                                                                                ,Sys_Auto  ,1         
66,000175,MFG-I-013           ,2012-03-19,內訓        ,2014-03-09,False,                                                                                                                                ,Sys_Auto  ,1         
67,000146,MFG-I-017           ,2012-03-19,內訓        ,2014-03-09,False,                                                                                                                                ,Sys_Auto  ,1         
68,000175,MFG-I-017           ,2012-03-19,內訓        ,2014-03-09,False,                                                                                                                                ,Sys_Auto  ,1         
69,000193,MFG-I-017           ,2012-03-19,內訓        ,2014-03-09,False,                                                                                                                                ,Sys_Auto  ,1         
73,000636,MFG-I-046           ,2012-03-21,內訓        ,2014-04-14,False,                                                                                                                                ,e067688   ,1         
78,000675,MFG-I-010           ,2012-03-22,內訓        ,2014-03-12,False,                                                                                                                                ,Sys_Auto  ,1         
79,000175,MFG-I-011           ,2012-03-22,內訓        ,2014-03-12,False,                                                                                                                                ,Sys_Auto  ,1         
80,000175,MFG-I-015           ,2012-03-22,內訓        ,2014-03-12,False,                                                                                                                                ,Sys_Auto  ,1         
81,000242,MFG-I-017           ,2012-03-22,內訓        ,2014-03-12,False,                                                                                                                                ,Sys_Auto  ,1         
82,000193,MFG-I-030           ,2012-03-22,內訓        ,2014-03-12,False,                                                                                                                                ,Sys_Auto  ,1         
83,000675,MFG-I-037           ,2012-03-22,內訓        ,2014-03-12,False,                                                                                                                                ,Sys_Auto  ,1         
84,000675,MFG-I-039           ,2012-03-22,內訓        ,2014-03-12,False,                                                                                                                                ,Sys_Auto  ,1         
85,000411,MFG-I-046           ,2012-03-22,內訓        ,2014-03-12,False,                                                                                                                                ,Sys_Auto  ,1         
86,000484,MFG-I-046           ,2012-03-22,內訓        ,2014-03-12,False,                                                                                                                                ,Sys_Auto  ,1         
97,000289,MFG-P-016           ,2012-03-24,內訓        ,2014-03-14,False,                                                                                                                                ,Sys_Auto  ,1         
98,000193,MFG-I-029           ,2012-03-25,內訓        ,2014-03-15,False,                                                                                                                                ,Sys_Auto  ,1         
99,000199,MFG-P-012           ,2012-03-25,內訓        ,2014-03-15,False,                                                                                                                                ,Sys_Auto  ,1         
104,000192,MFG-E-004           ,2012-03-28,內訓        ,2014-03-18,False,                                                                                                                                ,Sys_Auto  ,1         
105,000192,MFG-E-002           ,2012-03-28,內訓        ,2014-03-18,False,                                                                                                                                ,Sys_Auto  ,1         
106,000181,MFG-P-009           ,2012-03-28,內訓        ,2014-03-18,False,                                                                                                                                ,Sys_Auto  ,1         
108,000125,MFG-E-007           ,2012-03-29,內訓        ,2014-03-19,False,                                                                                                                                ,Sys_Auto  ,1         
10517,000594,MFG-I-045           ,2014-09-22,內訓        ,2014-09-22,True,                                                                                                                                ,l000216   ,1         
110,000174,MFG-I-017           ,2012-03-29,內訓        ,2014-03-19,False,                                                                                                                                ,Sys_Auto  ,1         
111,000191,MFG-I-017           ,2012-03-29,內訓        ,2014-03-19,False,                                                                                                                                ,Sys_Auto  ,1         
112,000192,MFG-E-007           ,2012-03-30,內訓        ,2014-03-20,False,                                                                                                                                ,Sys_Auto  ,1         
114,000056,MFG-E-007           ,2012-03-31,內訓        ,2014-03-21,False,                                                                                                                                ,Sys_Auto  ,1         
115,000193,MFG-I-011           ,2012-03-31,內訓        ,2014-03-21,False,                                                                                                                                ,Sys_Auto  ,1         
116,000193,MFG-I-013           ,2012-03-31,內訓        ,2014-03-21,False,                                                                                                                                ,Sys_Auto  ,1         
117,000193,MFG-I-015           ,2012-03-31,內訓        ,2014-03-21,False,                                                                                                                                ,Sys_Auto  ,1         
118,000134,MFG-I-062           ,2012-03-31,內訓        ,2014-03-21,False,                                                                                                                                ,Sys_Auto  ,1         
119,000146,MFG-I-062           ,2012-03-31,內訓        ,2014-03-21,False,                                                                                                                                ,Sys_Auto  ,1         
120,000193,MFG-I-062           ,2012-03-31,內訓        ,2014-03-21,False,                                                                                                                                ,Sys_Auto  ,1         
121,000527,MFG-I-008           ,2012-04-02,內訓        ,2014-03-23,False,                                                                                                                                ,Sys_Auto  ,1         
122,000527,MFG-I-009           ,2012-04-02,內訓        ,2014-03-23,False,                                                                                                                                ,Sys_Auto  ,1         
123,000527,MFG-I-010           ,2012-04-02,內訓        ,2014-03-23,False,                                                                                                                                ,Sys_Auto  ,1         
124,000242,MFG-I-062           ,2012-04-02,內訓        ,2014-03-23,False,                                                                                                                                ,Sys_Auto  ,1         
125,000199,MFG-P-008           ,2012-04-03,內訓        ,2014-03-24,False,                                                                                                                                ,Sys_Auto  ,1         
126,000191,MFG-I-040           ,2012-04-03,內訓        ,2014-03-24,False,                                                                                                                                ,Sys_Auto  ,1         
127,000181,MFG-P-007           ,2012-04-05,內訓        ,2014-03-26,False,                                                                                                                                ,Sys_Auto  ,1         
128,000175,MFG-I-027           ,2012-04-05,內訓        ,2014-03-26,False,                                                                                                                                ,Sys_Auto  ,1         
129,000175,MFG-I-029           ,2012-04-05,內訓        ,2014-03-26,False,                                                                                                                                ,Sys_Auto  ,1         
130,000175,MFG-I-031           ,2012-04-05,內訓        ,2014-03-26,False,                                                                                                                                ,Sys_Auto  ,1         
132,000174,MFG-I-024           ,2012-04-08,內訓        ,2014-03-29,False,                                                                                                                                ,Sys_Auto  ,1         
133,000174,MFG-I-025           ,2012-04-08,內訓        ,2014-03-29,False,                                                                                                                                ,Sys_Auto  ,1         
134,000174,MFG-I-026           ,2012-04-08,內訓        ,2014-03-29,False,                                                                                                                                ,Sys_Auto  ,1         
136,000297,MFG-I-036           ,2012-04-09,內訓        ,2014-03-30,False,                                                                                                                                ,Sys_Auto  ,1         
137,000192,MFG-E-001           ,2012-04-10,內訓        ,2014-03-31,False,                                                                                                                                ,Sys_Auto  ,1         
138,000205,MFG-I-014           ,2012-04-10,內訓        ,2014-03-31,False,                                                                                                                                ,Sys_Auto  ,1         
141,000174,MFG-I-056           ,2012-04-14,內訓        ,2014-04-04,False,                                                                                                                                ,Sys_Auto  ,1         
142,000174,MFG-I-057           ,2012-04-14,內訓        ,2014-04-04,False,                                                                                                                                ,Sys_Auto  ,1         
149,000275,MFG-P-020           ,2012-04-14,內訓        ,2014-04-04,False,                                                                                                                                ,Sys_Auto  ,1         
150,000287,MFG-P-020           ,2012-04-14,內訓        ,2014-04-04,False,                                                                                                                                ,Sys_Auto  ,1         
151,000289,MFG-P-020           ,2012-04-14,內訓        ,2014-04-04,False,                                                                                                                                ,Sys_Auto  ,1         
152,000344,MFG-P-020           ,2012-04-14,內訓        ,2014-04-04,False,                                                                                                                                ,Sys_Auto  ,1         
153,000360,MFG-P-020           ,2012-04-14,內訓        ,2014-04-04,False,                                                                                                                                ,Sys_Auto  ,1         
154,000551,MFG-P-020           ,2012-04-14,內訓        ,2014-04-04,False,                                                                                                                                ,Sys_Auto  ,1         
155,000567,MFG-P-020           ,2012-04-14,內訓        ,2014-04-04,False,                                                                                                                                ,Sys_Auto  ,1         
157,000199,MFG-P-002           ,2012-04-15,內訓        ,2014-09-22,False,                                                                                                                                ,l000465   ,1         
159,000191,MFG-I-008           ,2012-04-17,內訓        ,2014-04-07,False,                                                                                                                                ,Sys_Auto  ,2         
160,000174,MFG-I-009           ,2012-04-17,內訓        ,2014-04-07,False,                                                                                                                                ,Sys_Auto  ,1         
161,000191,MFG-I-009           ,2012-04-17,內訓        ,2014-04-07,False,                                                                                                                                ,Sys_Auto  ,1         
10518,000364,MFG-I-027           ,2014-09-22,內訓        ,2014-09-22,True,                                                                                                                                ,l000216   ,1         
162,000174,MFG-I-012           ,2012-04-17,內訓        ,2014-04-07,False,                                                                                                                                ,Sys_Auto  ,1         
